Word,Meaning,Example,Checked,Column5,Column6
clear,to give clearance or authorization to,When will this check clear my bank?,0.0,,
clear the air,calm anger and remove misunderstanding,"We were tired of fighting, so we decided to start talking and clear the air",0.0,,
came clean,tell the truth,I came clean when I know I was caught in a lie.,0.0,,
come hell or high water,Rain or shine,Come hell or high water I'll for sure be at that meeting.,0.0,,
come off it,"stop kidding, boasting or making believe",Herbert said he was the only one who could do the job. I told him to come off it.,0.0,,
come on strong,"overwhelm with excessively strong language or personality, to behave in an aggressive, ardent, or flamboyant manner",The car salesman come on too strong and angered my wife.,0.0,,
came through with flying color,"succeed, win, exceed","When he graduated with honors, it was evident that he came through with flying color",0.0,,
cook someone's goose,create big problems for someone,He know that when he was caught in a lie his goose was cooked,0.0,,
cough it up / cough up,"give money unwillingly, give up a secret","You said that you would help pay for their wedding. Well, it's been three months -- cough it up He was eventually forced to cough up details of the crime. I had to cough up $85 for a parking fine.",0.0,,
crack down,take severe measures (against),The police are beginning to crack down on teenagers who are out too late at night.,0.0,,
cream of the crop,"the best of a group, top-choice",This university only accepts the cream of the crop,0.0,,
cut down,"use less, reduce",My doctor wants me to cut down on sugar.,0.0,,
cut someone down to size,prove someone is not as good as he or she thinks,John thought he was the smartest student in the class. We needed to cut him down to size,0.0,,
dawn on,"become clear, begin to understand",It finally dawned on me that I missed our anniversary.,0.0,,
dime a dozen,"common, easily obtained",Those shiny stones are not worth anything. They are a dime a dozen,0.0,,
dive,"disreputable, low class bar or nightclub",I did not like where he brought me last night. It was a real dive,0.0,,
down and out,"having no money, no success","Although he was successful a few years ago, today I hear he's down and out.",0.0,,
down in the dumps,"blue, gloomy, morose",She's been down in the dumps ever since she lost her job.,0.0,,
down the drain,"wasted, lost",I don't like to throw my money down the drain,0.0,,
down to earth,"having good sense, practical, realistic, simple in style",My fiancee is friendly and sensible. She's very down to earth.,0.0,,
dribs and drabs,"little by little, small quantities",She told us the story in dribs and drabs,0.0,,
drive at,"try to say, insinuate",What were you driving at when you said that insulting comment?,0.0,,
drive someone up a wall,make someone crazy,My son is drive me up a wall,0.0,,
drown one's sorrows,drink liquor to forget one's problems,,0.0,,
dwell on,talk and think about something all the time,"I know it is a big decision, but you shouldn't dwell on it all day.",0.0,,
earful,"interesting gossip, information",My friend found out about the local politician. I got an earful,0.0,,
"every Tom, Dick and Harry","the average person, nobody special","It seemed like every Tom, Dick and Harry came out to purchase tickets for the movie.",0.0,,
fall off,to fall from a particular surface or position to decline or lessen to turn a ship in the direction of the wind,"Please, be careful not to fall off the roof! Sales have been fall off since the economy has slowed down. Captain, we need to fall off a little, so as to not hit that embankment.",0.0,,
fast buck,money obtained easily and often unethically,I know a way we can make a fast buck.,0.0,,
feather in someone's cap,proud achivement,His speech went well at the corporate meeting. It was a feather in his cap,0.0,,
feel it in someone's bones,"know by intuition, feel certain without evidence; expect something bad to happen",I believe he is going to get the promotion. I can just feel it in my bones,0.0,,
fill someone in,tell a person the details,We had the meeting yesterday when you were out. Let me fill you in on what you missed.,0.0,,
fishy,"suspicious, false sounding",Your company is giving you a month off from work? That sounds a bit fishy.,0.0,,
fix someone up,arrange a date for someone,I fix her up with my best friend.,0.0,,
flip one's lid,"get angry, go crazy, become very excited",He flip his lid when he found out his son stole some candy from the store.,1.0,,
floor someone,"surprise, confuse",I was floored when I found out they had made me a surprise birthday party.,1.0,,
